Name,X100077_0m,X100120_0m,X100123_0m,X300112_0m,X100077_2m,X100120_2m,X100123_2m,X300112_2m,X100077_6m,X100120_6m,X100123_6m,X300112_6m
ARF5,174,246,205,252,98,172,202,245,109,219,183,178
M6PR,624,906,723,653,366,677,661,885,456,800,657,481
ESRRA,111,74,101,131,0,77,84,32,82,93,76,35
FKBP4,87,144,126,114,97,136,146,192,83,187,172,121
CYP26B1,0,0,0,0,0,0,0,0,0,0,0,0
NDUFAF7,16,28,39,10,25,18,0,35,14,31,20,44
FUCA2,83,137,113,96,60,114,112,131,66,131,100,70
DBNDD1,0,8,0,13,0,5,0,0,0,0,19,0
HS3ST1,10,20,26,19,26,13,18,28,18,30,39,14
SEMA3F,0,0,0,0,0,0,0,0,0,0,0,0
CFTR,0,0,0,0,0,0,0,0,0,0,0,0
CYP51A1,61,104,82,68,64,76,91,68,67,120,92,69
USP28,38,32,19,34,13,41,48,43,46,42,0,28
STPG1,0,0,2,0,0,0,3,0,0,0,0,0
NIPAL3,326,266,296,299,271,293,293,292,270,435,324,195
TMEM176A,0,13,39,55,11,6,15,70,2,0,0,23
SLC7A2,0,0,0,0,0,0,0,0,0,0,0,0
HSPB6,1,1,3,1,0,0,0,5,2,0,6,1
ZNF195,0,0,0,0,30,0,0,0,0,0,0,0
PDK4,191,132,215,242,26,49,183,129,169,97,86,81
CCL26,0,0,0,0,0,0,0,0,0,0,0,0
USH1C,0,0,0,0,0,0,0,0,0,0,1,0
RALA,140,137,177,133,102,145,178,169,86,217,153,120
BCAP29,12,64,63,41,43,46,11,42,24,54,32,25
BAIAP2L1,16,47,38,33,11,33,32,42,16,46,45,31
CACNG3,0,1,1,2,1,1,1,0,2,2,0,0
TMEM132A,0,0,0,2,0,0,0,0,0,1,0,0
DVL2,74,63,70,81,53,58,80,113,61,102,103,80
GGCT,0,0,0,0,0,0,0,0,4,0,0,0
RPAP3,79,151,137,137,66,123,138,95,51,187,114,115
IFRD1,46,65,92,50,15,44,123,94,48,55,52,68
UPP2,0,0,0,0,0,0,0,0,0,0,0,0
PRSS21,5,0,0,0,0,0,0,0,9,3,0,0
HOXA11,0,0,0,0,0,0,0,0,0,0,0,0
CX3CL1,0,0,0,0,0,0,0,0,0,0,0,0
PRR5,0,8,6,18,28,19,30,4,0,0,28,9
TRAPPC6A,16,9,17,14,24,9,33,10,12,20,38,16
SPATA20,20,19,0,43,0,16,0,24,23,0,0,31
CEACAM7,0,0,0,0,0,0,0,0,0,0,0,0
CD79B,72,40,79,120,64,76,163,158,56,151,206,94
RHBDD2,7,48,83,45,52,36,5,42,45,13,44,16
RPUSD1,57,41,42,63,24,24,35,62,35,79,0,30
TSR3,77,78,90,108,63,72,93,141,66,105,107,68
OSBPL7,0,25,33,0,0,47,27,81,25,56,47,16
ARHGAP33,0,0,0,0,8,0,0,0,0,0,0,0
NDUFAB1,40,42,35,48,34,58,54,69,43,50,50,28
